Date,Mkt-RF,SMB,HML,RMW,CMA,RF,Close,Volume,Returns,excess_return
1999-05-01,-2.46,3.71,2.35,0.93,3.34,0.34,1301.8399658203125,15880260000,-0.025287532336114905,-0.028687532336114905
1999-06-01,4.77,2.29,-3.19,1.13,-3.21,0.4,1372.7099609375,16079170000,0.05300823759008801,0.049008237590088016
1999-07-01,-3.49,2.57,-0.44,0.36,3.22,0.38,1328.719970703125,15332930000,-0.0325708089457425,-0.036370808945742496
1999-08-01,-1.38,-1.73,-1.87,-0.24,0.64,0.39,1320.4100341796875,15818550000,-0.006273730443188987,-0.010173730443188988
1999-09-01,-2.79,2.59,-3.49,-0.75,-1.23,0.39,1282.7099609375,16438700000,-0.028967323421100265,-0.03286732342110026
1999-10-01,6.12,-6.91,-3.37,-1.74,-1.19,0.39,1362.9300537109375,18832000000,0.06066183660855315,0.05676183660855315
1999-11-01,3.37,5.8,-6.12,-4.28,-1.74,0.36,1388.9100341796875,18384820000,0.01888245796159326,0.015282457961593263
1999-12-01,7.72,5.39,-8.33,-7.6,-5.63,0.44,1469.25,19640690000,0.05623277504510495,0.05183277504510495
2000-01-01,-4.74,4.42,-1.88,-6.29,4.72,0.41,1394.4599609375,21494400000,-0.05224485096542008,-0.05634485096542008
2000-02-01,2.45,18.28,-9.59,-18.65,-0.48,0.43,1366.4200439453125,20912000000,-0.020313002436901425,-0.024613002436901427
2000-03-01,5.2,-15.32,8.13,11.79,-1.59,0.47,1498.5799560546875,26156200000,0.09232375063667664,0.08762375063667664
2000-04-01,-6.4,-5.01,7.26,7.66,5.65,0.46,1452.4300537109375,20106460000,-0.03127991095339023,-0.03587991095339023
2000-05-01,-4.42,-3.81,4.75,4.13,1.37,0.5,1420.5999755859375,19898300000,-0.02215875239575553,-0.02715875239575553
2000-06-01,4.64,9.92,-8.42,-8.31,-2.95,0.4,1454.5999755859375,21738300000,0.02365163155843237,0.01965163155843237
2000-07-01,-2.51,-1.03,8.31,5.83,2.94,0.48,1430.8299560546875,19089100000,-0.016476267193485265,-0.021276267193485264
2000-08-01,7.03,-1.03,-1.39,-3.22,1.1,0.5,1517.6800537109375,20363700000,0.05892822369153254,0.053928223691532544
2000-09-01,-5.45,0.19,7.17,2.56,5.53,0.51,1436.510009765625,20838300000,-0.05496632087674741,-0.06006632087674741
2000-10-01,-2.76,-2.65,5.71,9.61,3.8,0.56,1429.4000244140625,25951400000,-0.004961774691885913,-0.010561774691885913
2000-11-01,-10.72,-0.58,12.3,13.07,8.43,0.51,1314.949951171875,20532300000,-0.08345618792359105,-0.08855618792359105
2000-12-01,1.19,3.26,7.61,1.71,4.79,0.5,1320.280029296875,23610800000,0.004045252545684775,-0.0009547474543152249
2001-01-01,3.13,5.48,-5.07,-4.69,-5.03,0.54,1366.010009765625,27829800000,0.034050231409260966,0.028650231409260964
2001-02-01,-10.05,2.83,12.47,9.1,9.07,0.38,1239.93994140625,21644400000,-0.09683114482086731,-0.10063114482086731
2001-03-01,-7.26,2.33,6.42,3.35,3.92,0.42,1160.3299560546875,27806610000,-0.06635853454793589,-0.07055853454793588
2001-04-01,7.94,-0.86,-4.67,-3.06,-3.2,0.39,1249.4599609375,25409990000,0.07400701716559067,0.07010701716559067
2001-05-01,0.72,3.6,3.36,0.25,1.91,0.32,1255.8199462890625,24525900000,0.005077276192499077,0.0018772761924990768
2001-06-01,-1.94,6.57,-1.12,1.6,-1.51,0.28,1224.3800048828125,24748030000,-0.025354105491820707,-0.028154105491820708
2001-07-01,-2.13,-2.82,5.21,7.42,3.07,0.3,1211.22998046875,23793710000,-0.010798241319025235,-0.013798241319025236
2001-08-01,-6.46,2.71,2.31,4.05,6.57,0.31,1133.5799560546875,23359200000,-0.06625562852916861,-0.06935562852916861
2001-09-01,-9.25,-5.73,1.45,4.99,3.21,0.28,1040.93994140625,25025290000,-0.08525663276941997,-0.08805663276941997
2001-10-01,2.46,5.27,-7.65,-2.98,-4.55,0.22,1059.780029296875,29951280000,0.01793727226268294,0.015737272262682938
2001-11-01,7.54,-0.31,2.21,-3.73,-1.61,0.17,1139.449951171875,26330000000,0.07248427993671071,0.07078427993671071
2001-12-01,1.6,5.16,0.84,0.34,-0.26,0.15,1148.0799560546875,25128570000,0.007545296609037892,0.006045296609037892
2002-01-01,-1.44,1.26,3.44,4.69,2.84,0.14,1130.199951171875,29746200000,-0.015696378592795636,-0.017096378592795634
2002-02-01,-2.29,-0.36,2.16,8.07,5.11,0.13,1106.72998046875,26047600000,-0.020984861119793335,-0.022284861119793335
2002-03-01,4.24,4.25,1.06,-1.78,0.58,0.13,1147.3900146484375,26563200000,0.036080106667215,0.034780106667215
2002-04-01,-5.2,6.72,3.88,4.56,5.38,0.15,1076.9200439453125,28568900000,-0.0633846547446828,-0.0648846547446828
2002-05-01,-1.38,-3.02,1.53,2.36,2.44,0.14,1067.1400146484375,26905500000,-0.009122969376784574,-0.010522969376784574
2002-06-01,-7.21,3.89,-0.05,3.93,2.51,0.13,989.8200073242188,29981510000,-0.07521434960317877,-0.07651434960317877
2002-07-01,-8.18,-6.43,-3.85,3.79,-0.99,0.15,911.6199951171875,42228720000,-0.08229988459363803,-0.08379988459363803
2002-08-01,0.5,-1.31,3.28,1.36,-1.47,0.14,916.0700073242188,29298400000,0.004869557741769553,0.0034695577417695527
2002-09-01,-10.35,3.08,1.47,3.29,-2.19,0.14,815.280029296875,27723710000,-0.11656114050838795,-0.11796114050838795
2002-10-01,7.84,-4.31,-3.95,-3.39,0.76,0.14,885.760009765625,37856310000,0.08291439611915427,0.08151439611915427
2002-11-01,5.96,2.91,-1.23,-9.2,5.15,0.12,936.3099975585938,29200960000,0.05550057104349944,0.05430057104349944
2002-12-01,-5.76,0.62,2.14,6.29,-1.68,0.11,879.8200073242188,25993640000,-0.06222926619772059,-0.06332926619772059
2003-01-01,-2.57,0.7,-0.83,-0.99,0.69,0.1,855.7000122070312,30749580000,-0.0277974877305516,-0.028797487730551602
2003-02-01,-1.88,-0.93,-1.39,0.83,-0.62,0.09,841.1500244140625,25235300000,-0.01714982949976613,-0.01804982949976613
2003-03-01,1.09,0.65,-1.93,1.87,-0.77,0.1,848.1799926757812,30080030000,0.008322836592988462,0.007322836592988462
2003-04-01,8.22,1.02,1.14,-4.68,1.06,0.1,916.9199829101562,29669610000,0.07792734002637904,0.07692734002637903
2003-05-01,6.05,4.81,0.4,-7.0,2.91,0.09,963.5900268554688,30952100000,0.04964571199782594,0.048745711997825944
2003-06-01,1.42,1.66,0.11,0.51,-0.38,0.1,974.5,31219400000,0.011258598140629074,0.010258598140629075
2003-07-01,2.35,4.54,-1.24,-4.14,1.78,0.07,990.3099975585938,31553200000,0.016093504013478806,0.015393504013478807
2003-08-01,2.34,2.48,1.53,-2.25,2.14,0.07,1008.010009765625,24881470000,0.017715355943955013,0.017015355943955014
2003-09-01,-1.24,0.54,0.16,1.01,0.34,0.08,995.969970703125,29940110000,-0.012016271671429112,-0.012816271671429113
